ID	string	anas	feature	lemma	hfstana	pos	chunk	depType	depTarget	cons	NER
<s>
0	Akárhogy	{ana=akárhogy[/Adv|Pro]=akárhogy, feats=[/Adv|Pro], lemma=akárhogy, readable_ana=akárhogy[/Adv|Pro]}	SubPOS=d|Deg=none|Num=none|Per=none	akárhogy	[/Adv|Pro]	Adv	O	MODE	4	(ROOT(CP(CP(ADVP*)	O	
2	is	{ana=is[/Adv]=is, feats=[/Adv], lemma=is, readable_ana=is[/Adv]}	SubPOS=x|Deg=none|Num=none|Per=none	is	[/Adv]	Adv	O	MODE	4	(C0*)	O	
4	fáj	{ana=fáj[/V]=fáj+[Prs.NDef.3Sg], feats=[/V][Prs.NDef.3Sg], lemma=fáj, readable_ana=fáj[/V] + [Prs.NDef.3Sg]}	SubPOS=m|Mood=i|Tense=p|Per=3|Num=s|Def=n	fáj	[/V][Prs.NDef.3Sg]	V	O			(V_(V0*)))	O	
5	,		_	,	OTHER	,	O	ATT	10	*	O	
6	lehullt	{ana=le[/Prev]=le+hull[/V]=hull+t[Pst.NDef.3Sg]=t, feats=[/V][Pst.NDef.3Sg], lemma=lehull, readable_ana=le[/Prev] + hull[/V] + t[Pst.NDef.3Sg]};{ana=le[/Prev]=le+hull[/V]=hull+t[_PerfPtcp/Adj]=t+[Nom], feats=[/Adj][Nom], lemma=lehullt, readable_ana=le[/Prev] + hull[/V] + t[_PerfPtcp/Adj] + [Nom]};{ana=le[/Prev]=le+hullik[/V]=hull+t[Pst.NDef.3Sg]=t, feats=[/V][Pst.NDef.3Sg], lemma=lehullik, readable_ana=le[/Prev] + hullik[/V]=hull + t[Pst.NDef.3Sg]};{ana=le[/Prev]=le+hullik[/V]=hull+t[_PerfPtcp/Adj]=t+[Nom], feats=[/Adj][Nom], lemma=lehullt, readable_ana=le[/Prev] + hullik[/V]=hull + t[_PerfPtcp/Adj] + [Nom]}	SubPOS=m|Mood=i|Tense=s|Per=3|Num=s|Def=n	lehull	[/V][Pst.NDef.3Sg]	V	O	ATT	10	(CP(NP*)	O	
8	minden	{ana=mind[/N|Pro]=mind+en[Supe]=en, feats=[/N|Pro][Supe], lemma=mind, readable_ana=mind[/N|Pro] + en[Supe]};{ana=minden[/Det|Q|indef]=minden, feats=[/Det|Q|indef], lemma=minden, readable_ana=minden[/Det|Q|indef]};{ana=minden[/N|Pro]=minden+[Nom], feats=[/N|Pro][Nom], lemma=minden, readable_ana=minden[/N|Pro] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	minden	[/N|Pro][Nom]	N	B-NP	ATT	10	(NP(ADJP*)	O	
10	sztár	{ana=sztár[/N]=sztár+[Nom], feats=[/N][Nom], lemma=sztár, readable_ana=sztár[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	sztár	[/N][Nom]	N	E-NP	SUBJ	4	*))	O	
11	.		_	.	OTHER	.	O	ATT	4	*))	O	
</s>
<s>
