Legkorábbi	ADJ	korai	O
festményei	NOUN<PLUR><POSS>	festmény	O
Grazban	NOUN<CAS<INE>>	graz	B-LOC
(	PUNCT	(	O
1742-ből	NOUN<CAS<ELA>>	1742	O
)	PUNCT	)	O
és	CONJ	és	O
Szlovéniában	NOUN<CAS<INE>>	szlovénia	B-LOC
(	PUNCT	(	O
1744-45-ből	NOUN<CAS<ELA>>	1744-45	O
)	PUNCT	)	O
találhatók	ADJ<PLUR>	található	O
.	PUNCT	.	O

Egri	ADJ	egri	O
freskói	NOUN<PLUR><POSS>	freskó	O
közül	POSTP	közül	O
több	NUM	sok	O
elpusztult	VERB<PAST>	elpusztul	O
.	PUNCT	.	O

Eger	NOUN	eger	B-LOC
müvészetéröl	VERB	müvészetér	O
:	PUNCT	:	O
tanulmányok	NOUN<PLUR>	tanulmány	O
és	CONJ	és	O
jegyzetek	NOUN<PLUR>	jegyzet	O
a	ART	a	O
hazai	ADJ	haza	O
barokk	ADJ	barokk	O
törtenetéhez	NOUN<POSS><CAS<ALL>>	törtenet	O
.	PUNCT	.	O

Itt	ADV	itt	O
a	ART	a	O
67.	NUM	67	O
helyen	NOUN<CAS<SUE>>	hely	O
nyitott	VERB<PAST>	nyit	O
,	PUNCT	,	O
az	ART	a	O
azon	NOUN<CAS<SUE>>	az	O
a	ART	a	O
héten	NOUN<CAS<SUE>>	hét	O
debütáló	ADJ	debütál	O
kislemezek	NOUN<PLUR>	kislemez	O
közül	POSTP	közül	O
a	ART	a	O
második	NUM	kettő	O
legsikeresebbként	ADJ<CAS<FOR>>	sikeres	O
.	PUNCT	.	O

A	ART	a	O
dal	NOUN	dal	O
húsz	NUM	húsz	O
hétig	NOUN<CAS<TER>>	hét	O
maradt	VERB<PAST>	marad	O
a	ART	a	O
listán	NOUN<CAS<SUE>>	lista	O
,	PUNCT	,	O
legmagasabb	ADJ	magas	O
helyezését	NOUN<POSS><CAS<ACC>>	helyezés	O
,	PUNCT	,	O
a	ART	a	O
19-et	NOUN<CAS<ACC>>	19	O
a	ART	a	O
kilencedik	NUM	kilenc	O
héten	NOUN<CAS<SUE>>	hét	O
érte	NOUN<PERS><CAS<CAU>>	ő	O
el	PREV	el	O
.	PUNCT	.	O

Mexikói	ADJ	mexikói	O
helyszíneken	NOUN<PLUR><CAS<SUE>>	helyszín	O
forgatták	VERB<PAST><PLUR><DEF>	forgat	O
2004	NUM	2004	O
áprilisában	NOUN<POSS><CAS<INE>>	április	O
,	PUNCT	,	O
és	CONJ	és	O
Young	NOUN	young	B-PER
Buck	NOUN	buck	I-PER
rapper	NOUN	rapper	O
alakítja	VERB<DEF>	alakít	O
benne	NOUN<PERS><CAS<INE>>	ő	O
Monica	NOUN	monica	B-PER
partnerét	NOUN<POSS><CAS<ACC>>	partner	O
,	PUNCT	,	O
akit	NOUN<CAS<ACC>>	aki	O
Monica	NOUN	monica	B-PER
meglátogat	VERB	meglátogat	O
a	ART	a	O
börtönben	NOUN<CAS<INE>>	börtön	O
,	PUNCT	,	O
hogy	CONJ	hogy	O
kiszabadítsa	VERB<SUBJUNC-IMP><DEF>	kiszabadít	O
.	PUNCT	.	O

Az	ART	a	O
olasz	ADJ	olasz	O
divertimento	NOUN	divertimento	O
(	PUNCT	(	O
szórakozás	NOUN	szórakozás	O
)	PUNCT	)	O
szóból	NOUN<CAS<ELA>>	szó	O
származik	VERB	származik	O
.	PUNCT	.	O

A	ART	a	O
legkülönbözőbb	ADJ	különböző	O
stílusirányzatokhoz	NOUN<PLUR><CAS<ALL>>	stílusirányzat	O
tartozók	ADJ<PLUR>	tartozik	O
állítottak	VERB<PAST><PLUR>	állít	O
itt	ADV	itt	O
ki	PREV	ki	O
,	PUNCT	,	O
voltak	VERB<PAST><PLUR>	van	O
,	PUNCT	,	O
akik	NOUN<PLUR>	aki	O
éppen	ADV	éppen	O
stílusváltás	NOUN	stílusváltás	O
korszakukban	NOUN<POSS<PLUR>><CAS<INE>>	korszak	O
voltak	VERB<PAST><PLUR>	van	O
.	PUNCT	.	O

Művészeti	ADJ	művészeti	O
kislexikon	NOUN<PLUR><CAS<SUE>>	kislexi	O
.	PUNCT	.	O

A	ART	a	O
kagán	NOUN	kagán	O
mellett	POSTP	mellett	O
volt	VERB<PAST>	van	O
egy	ART	egy	O
helyettese	NOUN<POSS>	helyettes	O
a	ART	a	O
keleti	ADJ	kelet	O
részre	NOUN<CAS<SBL>>	rész	O
vonatkozóan	ADV	vonatkozó	O
,	PUNCT	,	O
a	ART	a	O
sad	NOUN	sad	O
,	PUNCT	,	O
általában	ADV	általában	O
a	ART	a	O
trónörökös	NOUN	trónörökös	O
,	PUNCT	,	O
akit	NOUN<CAS<ACC>>	aki	O
kiskagánnak	NOUN<CAS<DAT>>	kiskagán	O
is	ADV	is	O
hívnak	VERB<PLUR>	hív	O
egyes	ADJ	egyes	O
publikációk	NOUN<PLUR>	publikáció	O
.	PUNCT	.	O

A	ART	a	O
történészek	NOUN<PLUR>	történész	O
vitatják	VERB<PLUR><DEF>	vitat	O
,	PUNCT	,	O
hogy	CONJ	hogy	O
rangban	NOUN<CAS<INE>>	rang	O
a	ART	a	O
türköknél	ADJ<PLUR><CAS<ADE>>	türk	O
a	ART	a	O
kagán	NOUN	kagán	O
után	POSTP	után	O
a	ART	a	O
sad	NOUN	sad	O
vagy	CONJ	vagy	O
a	ART	a	O
jabgu	NOUN	jabgu	O
következett-e	NOUN<POSS>	következett	O
.	PUNCT	.	O

A	ART	a	O
listába	NOUN<CAS<ILL>>	lista	O
csak	ADV	csak	O
az	ART	a	O
Egyesült	ADJ	egyesült	B-LOC
Államok	NOUN	államok	I-LOC
területének	NOUN<POSS><CAS<DAT>>	terület	O
kiskereskedelmi	ADJ	kiskereskedelem	O
(	PUNCT	(	O
hanghordozón	NOUN<CAS<SUE>>	hanghordozó	O
)	PUNCT	)	O
és	CONJ	és	O
digitális	ADJ	digitális	O
(	PUNCT	(	O
letöltés	NOUN	letölt	O
általi	ADJ	által	O
)	PUNCT	)	O
lemezeladásai	NOUN<PLUR><POSS>	lemezeladás	O
számítanak	VERB<PLUR>	számít	O
bele	PREV	bele	O
.	PUNCT	.	O

Gyakran	ADV	gyakran	O
használják	VERB<PLUR><DEF>	használ	O
előadók	NOUN<PLUR>	előadó	O
általános	ADJ	általános	O
népszerűségének	NOUN<POSS><CAS<DAT>>	népszerűség	O
mérésére	NOUN<POSS><CAS<SBL>>	mérés	O
azáltal	CONJ	azáltal	O
hogy	CONJ	hogy	O
az	ART	a	O
egyes	ADJ	egyes	O
előadók	NOUN<PLUR>	előadó	O
hány	NOUN	hány	O
lemezzel	NOUN<CAS<INS>>	lemez	O
és	CONJ	és	O
mennyi	NUM	mennyi	O
ideig	ADV	ideig	O
tudtak	VERB<PAST><PLUR>	tud	O
elsők	NOUN<PLUR>	első	O
maradni	VERB<INF>	marad	O
.	PUNCT	.	O

A	ART	a	O
digitális	ADJ	digitális	O
letöltések	NOUN<PLUR>	letölt	O
természetesen	CONJ	természetesen	O
csak	ADV	csak	O
a	ART	a	O
legális	ADJ	legális	O
forrásból	NOUN<CAS<ELA>>	forrás	O
(	PUNCT	(	O
pl.	PREP	pl.	O
iTunes	ADJ	itun	O
Store	NOUN	store	O
)	PUNCT	)	O
származó	ADJ	származik	O
vásárlásokat	NOUN<PLUR><CAS<ACC>>	vásárlás	O
tartalmazzák	VERB<PLUR><DEF>	tartalmaz	O
és	CONJ	és	O
csak	ADV	csak	O
azokat	NOUN<PLUR><CAS<ACC>>	az	O
,	PUNCT	,	O
amikor	ADV	amikor	O
a	ART	a	O
vevő	NOUN	vevő	O
az	ART	a	O
egész	ADV	egész	O
